iter	Passed	Remaining
0	168	168692
1	171	85420
2	173	57628
3	174	43526
4	176	35075
5	177	29411
6	179	25396
7	180	22375
8	181	20002
9	182	18094
10	183	16529
11	185	15238
12	186	14136
13	186	13165
14	187	12320
15	188	11583
16	189	10935
17	189	10350
18	190	9829
19	191	9360
20	191	8947
21	192	8561
22	193	8213
23	194	7896
24	194	7598
25	195	7323
26	196	7074
27	196	6836
28	197	6613
29	198	6419
30	199	6242
31	200	6063
32	201	5893
33	201	5732
34	202	5578
35	202	5432
36	203	5298
37	204	5169
38	204	5047
39	205	4931
40	206	4820
41	206	4715
42	207	4615
43	208	4521
44	208	4430
45	209	4342
46	209	4256
47	210	4176
48	211	4099
49	212	4031
50	213	3965
51	213	3898
52	214	3832
53	215	3767
54	215	3706
55	216	3648
56	217	3595
57	218	3540
58	218	3487
59	219	3434
60	219	3383
61	220	3334
62	221	3287
63	221	3241
64	222	3197
65	222	3154
66	223	3112
67	224	3072
68	224	3033
69	225	2995
70	226	2958
71	227	2927
72	228	2897
73	228	2865
74	229	2833
75	230	2802
76	231	2772
77	231	2741
78	232	2712
79	233	2685
80	234	2656
81	234	2628
82	235	2597
83	236	2573
84	236	2549
85	237	2525
86	238	2503
87	239	2477
88	239	2453
89	240	2430
90	241	2409
91	242	2389
92	243	2370
93	243	2348
94	244	2327
95	245	2307
96	245	2286
97	246	2266
98	246	2246
99	247	2228
100	248	2209
101	248	2190
102	249	2172
103	250	2155
104	250	2137
105	251	2120
106	252	2104
107	252	2087
108	253	2070
109	253	2054
110	254	2037
111	255	2022
112	255	2007
113	256	1993
114	257	1980
115	258	1966
116	258	1951
117	259	1936
118	259	1922
119	260	1908
120	260	1895
121	261	1880
122	261	1867
123	262	1854
124	262	1840
125	263	1827
126	263	1814
127	264	1802
128	265	1791
129	265	1779
130	266	1767
131	267	1756
132	267	1745
133	268	1734
134	268	1723
135	269	1712
136	270	1704
137	271	1695
138	272	1686
139	273	1677
140	273	1667
141	274	1656
142	274	1647
143	275	1638
144	276	1629
145	276	1619
146	277	1610
147	278	1601
148	278	1592
149	279	1583
150	279	1574
151	280	1565
152	281	1556
153	281	1548
154	282	1539
155	283	1531
156	283	1523
157	284	1515
158	285	1508
159	286	1502
160	286	1493
161	287	1486
162	288	1480
163	288	1473
164	289	1465
165	290	1458
166	290	1451
167	291	1443
168	292	1436
169	292	1429
170	293	1422
171	294	1415
172	294	1408
173	295	1401
174	295	1394
175	296	1388
176	297	1381
177	297	1374
178	298	1368
179	298	1361
180	299	1356
181	300	1352
182	301	1346
183	302	1340
184	302	1334
185	303	1328
186	304	1321
187	304	1315
188	305	1309
189	305	1303
190	306	1297
191	307	1292
192	307	1286
193	308	1280
194	308	1275
195	309	1269
196	310	1263
197	310	1258
198	311	1253
199	311	1247
200	312	1242
201	313	1237
202	313	1232
203	314	1228
204	315	1224
205	316	1219
206	317	1214
207	317	1210
208	318	1205
209	319	1200
210	319	1196
211	320	1192
212	321	1187
213	322	1183
214	322	1178
215	323	1173
216	323	1168
217	324	1164
218	325	1159
219	325	1154
220	326	1150
221	326	1145
222	327	1141
223	328	1137
224	328	1132
225	329	1129
226	330	1125
227	331	1121
228	332	1118
229	332	1114
230	333	1109
231	333	1105
232	334	1101
233	335	1097
234	335	1093
235	336	1089
236	336	1084
237	337	1080
238	338	1077
239	338	1072
240	339	1069
241	340	1065
242	340	1061
243	341	1057
244	341	1053
245	342	1049
246	343	1046
247	343	1042
248	344	1039
249	345	1036
250	346	1033
251	346	1029
252	347	1025
253	347	1022
254	348	1018
255	349	1014
256	349	1011
257	350	1007
258	350	1004
259	351	1000
260	352	997
261	352	994
262	353	990
263	354	987
264	354	983
265	355	980
266	355	977
267	356	973
268	357	970
269	357	967
270	358	964
271	359	961
272	360	959
273	360	956
274	361	953
275	362	950
276	362	946
277	363	943
278	364	940
279	364	937
280	365	934
281	365	931
282	366	928
283	366	925
284	367	922
285	368	919
286	368	916
287	369	913
288	370	910
289	370	907
290	371	904
291	371	901
292	372	898
293	373	896
294	374	894
295	374	891
296	375	889
297	376	886
298	376	883
299	377	880
300	378	878
301	378	875
302	379	872
303	380	870
304	380	867
305	381	864
306	381	861
307	382	859
308	383	856
309	383	854
310	384	851
311	384	848
312	385	846
313	386	843
314	386	841
315	387	838
316	388	836
317	389	834
318	390	832
319	390	830
320	391	827
321	391	824
322	392	822
323	392	819
324	393	817
325	394	815
326	394	812
327	395	810
328	396	807
329	396	805
330	397	802
331	397	800
332	398	798
333	399	795
334	399	793
335	400	791
336	401	788
337	401	786
338	402	784
339	403	782
340	403	780
341	404	778
342	405	776
343	406	774
344	406	772
345	407	770
346	408	768
347	408	766
348	409	764
349	410	761
350	410	759
351	411	757
352	412	755
353	412	753
354	413	751
355	414	748
356	414	746
357	415	744
358	415	742
359	416	740
360	417	738
361	418	737
362	419	735
363	420	733
364	420	731
365	421	729
366	421	727
367	422	725
368	423	723
369	423	721
370	424	719
371	424	717
372	425	715
373	426	713
374	426	711
375	427	709
376	428	707
377	428	705
378	429	703
379	429	701
380	430	699
381	431	697
382	431	695
383	432	694
384	433	693
385	434	691
386	435	689
387	435	687
388	436	685
389	437	683
390	437	681
391	438	679
392	438	677
393	439	675
394	440	673
395	440	672
396	441	670
397	441	668
398	442	666
399	443	664
400	443	662
401	444	661
402	444	659
403	445	657
404	446	655
405	447	654
406	447	652
407	448	650
408	449	649
409	449	647
410	450	645
411	451	643
412	451	641
413	452	640
414	452	638
415	453	636
416	453	634
417	454	632
418	455	631
419	455	629
420	456	627
421	456	625
422	457	624
423	458	622
424	458	620
425	459	619
426	460	617
427	460	615
428	461	613
429	462	612
430	462	611
431	463	609
432	464	608
433	464	606
434	465	604
435	466	603
436	466	601
437	467	599
438	468	598
439	468	596
440	469	594
441	469	593
442	470	591
443	471	589
444	471	588
445	472	586
446	472	585
447	473	583
448	474	581
449	474	580
450	475	578
451	475	577
452	476	575
453	477	574
454	478	573
455	479	571
456	479	569
457	480	568
458	480	566
459	481	565
460	482	563
461	482	562
462	483	560
463	483	558
464	484	557
465	485	555
466	485	554
467	486	552
468	486	551
469	487	549
470	488	548
471	488	546
472	489	545
473	489	543
474	490	542
475	491	540
476	492	539
477	493	538
478	493	537
479	494	535
480	495	534
481	495	532
482	496	531
483	496	529
484	497	528
485	498	526
486	498	525
487	499	523
488	499	522
489	500	521
490	501	519
491	501	518
492	502	516
493	503	515
494	503	513
495	504	512
496	504	511
497	505	509
498	506	508
499	508	508
500	509	507
501	510	506
502	511	505
503	512	504
504	514	503
505	515	503
506	515	501
507	516	500
508	517	498
509	517	497
510	518	496
511	518	494
512	519	493
513	520	492
514	521	490
515	522	489
516	522	488
517	523	487
518	523	485
519	524	484
520	525	482
521	525	481
522	526	480
523	527	478
524	527	477
525	528	476
526	528	474
527	529	473
528	530	471
529	530	470
530	531	469
531	531	467
532	532	466
533	533	465
534	533	463
535	534	462
536	535	461
537	536	461
538	537	460
539	538	459
540	539	457
541	540	456
542	540	455
543	541	453
544	542	452
545	542	451
546	543	449
547	543	448
548	544	447
549	545	445
550	545	444
551	546	443
552	546	442
553	547	440
554	548	439
555	548	438
556	549	437
557	550	436
558	551	435
559	552	433
560	552	432
561	553	431
562	553	429
563	554	428
564	555	427
565	555	425
566	556	424
567	556	423
568	557	422
569	557	420
570	558	419
571	559	418
572	559	417
573	560	415
574	561	414
575	561	413
576	562	412
577	563	411
578	563	409
579	564	408
580	565	407
581	566	406
582	566	405
583	567	404
584	568	403
585	568	401
586	569	400
587	569	399
588	570	398
589	571	396
590	571	395
591	572	394
592	572	393
593	573	391
594	574	390
595	574	389
596	575	388
597	575	387
598	576	385
599	577	384
600	577	383
601	578	382
602	579	381
603	580	380
604	581	379
605	581	378
606	582	377
607	582	375
608	583	374
609	584	373
610	584	372
611	585	371
612	585	369
613	586	368
614	587	367
615	587	366
616	588	365
617	588	364
618	589	362
619	590	361
620	590	360
621	591	359
622	591	358
623	592	357
624	593	355
625	594	355
626	594	353
627	595	352
628	596	351
629	597	350
630	597	349
631	598	348
632	599	347
633	599	346
634	600	345
635	601	344
636	602	343
637	602	342
638	603	341
639	604	339
640	604	338
641	605	337
642	606	336
643	606	335
644	607	334
645	607	333
646	608	332
647	609	331
648	610	330
649	611	329
650	611	328
651	612	326
652	613	325
653	613	324
654	614	323
655	615	322
656	616	321
657	616	320
658	617	319
659	618	318
660	618	317
661	619	316
662	619	315
663	620	313
664	621	312
665	621	311
666	622	310
667	623	309
668	624	308
669	624	307
670	625	306
671	626	305
672	626	304
673	627	303
674	627	302
675	628	301
676	629	300
677	629	299
678	630	297
679	630	296
680	631	295
681	632	294
682	632	293
683	633	292
684	633	291
685	634	290
686	635	289
687	635	288
688	636	287
689	637	286
690	637	285
691	638	284
692	639	283
693	640	282
694	641	281
695	641	280
696	642	279
697	643	278
698	643	277
699	644	276
700	644	275
701	645	274
702	646	272
703	646	271
704	647	270
705	648	269
706	648	268
707	649	267
708	649	266
709	650	265
710	651	264
711	651	263
712	652	262
713	653	261
714	654	260
715	655	259
716	655	258
717	656	257
718	656	256
719	657	255
720	658	254
721	658	253
722	659	252
723	659	251
724	660	250
725	661	249
726	661	248
727	662	247
728	662	246
729	663	245
730	664	244
731	664	243
732	665	242
733	666	241
734	666	240
735	667	239
736	668	238
737	669	237
738	669	236
739	670	235
740	670	234
741	671	233
742	672	232
743	672	231
744	673	230
745	673	229
746	674	228
747	675	227
748	675	226
749	676	225
750	677	224
751	677	223
752	678	222
753	678	221
754	679	220
755	680	219
756	680	218
757	681	217
758	682	216
759	683	215
760	684	214
761	684	213
762	685	212
763	686	211
764	686	210
765	687	209
766	687	208
767	688	207
768	689	206
769	689	206
770	690	205
771	690	204
772	691	203
773	692	202
774	692	201
775	693	200
776	693	199
777	694	198
778	695	197
779	695	196
780	696	195
781	697	194
782	698	193
783	698	192
784	699	191
785	700	190
786	700	189
787	701	188
788	702	187
789	703	186
790	703	185
791	704	185
792	705	184
793	705	183
794	706	182
795	706	181
796	707	180
797	708	179
798	708	178
799	709	177
800	710	176
801	710	175
802	711	174
803	712	173
804	713	172
805	713	171
806	714	170
807	715	169
808	715	168
809	716	168
810	716	167
811	717	166
812	718	165
813	718	164
814	719	163
815	719	162
816	720	161
817	721	160
818	721	159
819	722	158
820	723	157
821	723	156
822	724	155
823	724	154
824	725	153
825	726	153
826	727	152
827	728	151
828	728	150
829	729	149
830	730	148
831	730	147
832	731	146
833	731	145
834	732	144
835	733	143
836	733	142
837	734	141
838	734	141
839	735	140
840	736	139
841	736	138
842	737	137
843	738	136
844	738	135
845	739	134
846	739	133
847	740	132
848	741	131
849	742	131
850	743	130
851	743	129
852	744	128
853	744	127
854	745	126
855	746	125
856	746	124
857	747	123
858	748	122
859	748	121
860	749	120
861	749	120
862	750	119
863	751	118
864	751	117
865	752	116
866	753	115
867	753	114
868	754	113
869	754	112
870	755	111
871	756	111
872	757	110
873	758	109
874	758	108
875	759	107
876	759	106
877	760	105
878	761	104
879	761	103
880	762	102
881	762	102
882	763	101
883	764	100
884	764	99
885	765	98
886	766	97
887	766	96
888	767	95
889	767	94
890	768	94
891	769	93
